centroid,pixel_avg,pixel_std
"(12.25, 12.73)",93.76,13.18
"(247.59, 249.73)",63.52,18.39
"(18.25, 48.09)",94.80,10.90
"(19.32, 79.74)",98.24,11.61
"(7.31, 110.00)",71.79,15.83
"(14.66, 163.53)",80.54,12.23
"(12.46, 197.87)",79.90,14.98
"(10.77, 234.75)",85.39,14.78
"(11.66, 263.05)",97.59,20.22
"(11.17, 294.99)",73.12,11.42
"(19.78, 329.87)",95.91,17.69
"(9.84, 355.38)",93.98,10.63
"(16.03, 392.67)",99.48,8.75
"(10.03, 427.46)",107.27,27.22
"(8.59, 452.44)",95.80,17.29
"(10.02, 484.41)",82.82,16.26
"(25.24, 124.80)",82.25,30.91
"(16.00, 123.00)",69.00,0.00
"(41.33, 209.20)",71.67,12.47
"(34.60, 459.75)",85.77,16.80
"(34.56, 489.64)",90.40,17.41
"(36.40, 362.41)",94.60,12.56
"(34.21, 430.81)",101.22,19.46
"(39.70, 241.21)",93.14,16.78
"(35.61, 269.33)",85.57,18.88
"(28.00, 103.00)",14.00,0.00
"(48.34, 143.84)",78.91,12.79
"(42.54, 297.91)",93.04,12.23
"(45.23, 12.25)",65.09,13.04
"(45.52, 176.43)",77.19,13.89
"(30.00, 294.00)",50.00,0.00
"(31.00, 295.00)",56.00,0.00
"(48.57, 90.11)",69.95,14.68
"(44.87, 392.25)",92.23,14.68
"(49.51, 43.45)",94.96,12.91
"(64.91, 335.12)",97.09,9.54
"(62.78, 418.51)",73.75,12.69
"(61.99, 66.16)",95.38,16.28
"(58.27, 258.69)",90.93,13.94
"(62.75, 112.46)",73.17,8.22
"(47.00, 444.00)",77.00,0.00
"(62.97, 372.06)",97.05,10.58
"(48.00, 443.00)",87.00,0.00
"(60.36, 485.94)",75.49,14.83
"(49.00, 440.00)",97.00,0.00
"(67.33, 453.81)",86.55,14.82
"(74.43, 225.93)",77.70,12.44
"(79.11, 293.73)",93.63,8.78
"(76.63, 191.63)",77.33,10.56
"(59.00, 393.00)",62.00,0.00
"(76.59, 162.08)",76.52,10.97
"(73.43, 13.51)",71.42,14.11
"(76.56, 43.16)",75.23,12.63
"(82.39, 93.33)",64.96,11.96
"(83.42, 131.02)",78.32,11.99
"(71.00, 79.00)",34.00,0.00
"(82.76, 396.00)",91.86,9.69
"(91.79, 259.88)",63.06,10.07
"(90.06, 485.65)",73.04,9.90
"(78.00, 378.00)",73.00,0.00
"(93.93, 368.95)",81.27,15.15
"(99.85, 72.28)",73.87,18.55
"(99.89, 423.78)",72.08,12.05
"(98.81, 452.59)",75.15,11.18
"(103.24, 17.79)",69.01,14.64
"(88.00, 414.50)",118.50,12.50
"(105.04, 341.89)",72.34,11.53
"(107.59, 48.64)",79.44,16.35
"(108.31, 170.52)",72.48,9.50
"(107.08, 142.80)",71.42,12.68
"(115.39, 106.22)",71.05,9.54
"(110.61, 201.85)",74.26,12.68
"(109.08, 230.71)",63.05,12.14
"(111.26, 390.33)",90.21,10.01
"(113.68, 308.31)",64.99,11.04
"(120.40, 252.47)",94.14,9.58
"(122.86, 483.53)",72.02,9.54
"(132.19, 445.83)",68.64,7.90
"(132.87, 355.77)",72.79,12.93
"(129.96, 284.85)",86.38,14.15
"(129.77, 416.53)",66.41,10.70
"(134.78, 71.29)",85.97,14.12
"(140.13, 130.04)",90.10,11.45
"(137.18, 14.75)",64.43,10.20
"(140.91, 158.00)",87.68,9.57
"(145.84, 187.46)",63.85,8.39
"(141.43, 220.70)",83.22,13.15
"(124.00, 265.00)",91.00,0.00
"(138.91, 387.85)",66.43,10.72
"(141.19, 321.37)",91.58,8.95
"(145.09, 44.86)",60.79,10.69
"(146.00, 265.14)",81.79,12.68
"(132.00, 203.50)",71.00,12.00
"(162.89, 103.93)",80.46,11.26
"(161.63, 298.03)",87.31,8.75
"(158.49, 483.48)",68.12,7.96
"(144.50, 241.00)",76.50,5.50
"(163.93, 416.83)",63.96,8.09
"(163.80, 252.19)",63.77,12.10
"(164.89, 337.09)",69.82,12.33
"(165.65, 382.97)",59.33,7.51
"(163.01, 357.46)",58.55,11.59
"(171.42, 449.16)",65.86,8.77
"(168.30, 9.45)",65.89,14.04
"(175.11, 66.79)",59.79,9.02
"(172.58, 34.67)",59.27,9.05
"(164.58, 205.48)",62.14,10.60
"(169.36, 144.91)",60.75,11.84
"(173.68, 228.24)",83.31,11.03
"(183.82, 182.32)",87.11,10.97
"(172.40, 217.20)",72.80,8.63
"(193.15, 288.33)",59.96,7.91
"(189.56, 322.91)",57.65,9.51
"(174.00, 212.00)",74.00,0.00
"(184.90, 245.76)",89.04,8.61
"(195.04, 148.84)",89.49,8.96
"(187.51, 207.11)",94.97,11.18
"(191.69, 354.32)",57.28,7.35
"(195.52, 482.16)",62.13,7.51
"(196.69, 386.90)",60.00,7.07
"(201.29, 14.42)",60.68,8.08
"(204.07, 115.05)",88.47,11.74
"(202.92, 86.21)",81.38,14.63
"(205.63, 49.23)",56.83,8.77
"(192.48, 263.86)",85.08,11.01
"(198.25, 416.08)",67.58,13.54
"(198.94, 228.32)",66.23,8.26
"(207.94, 445.65)",63.83,8.69
"(220.74, 261.56)",57.63,8.41
"(201.20, 265.40)",82.60,4.32
"(213.03, 195.82)",62.38,8.12
"(223.21, 300.65)",56.17,6.93
"(225.76, 334.92)",58.56,7.08
