k,b,a,h_over_L,w_over_L
0.7077771008388003,1.412874192757693,0.03711904183185359,0.5,0.49
0.7077771008388003,1.412874192757693,0.1840584913238625,0.5,0.45
0.7077771008388003,1.412874192757693,0.3589839893845109,0.5,0.4
0.7077771008388003,1.412874192757693,0.5171126715014229,0.5,0.35
0.7077771008388003,1.412874192757693,0.653515019047777,0.5,0.3
0.7077771008388003,1.412874192757693,0.7651072017128935,0.5,0.25
0.7077771008388003,1.412874192757693,0.8536203957173422,0.5,0.2
0.7077771008388003,1.412874192757693,0.9195508667451917,0.5,0.15
0.7077771008388003,1.412874192757693,0.9648607833276364,0.5,0.1
0.7077771008388003,1.412874192757693,0.9912416295791231,0.5,0.05
0.7077771008388003,1.412874192757693,0.9996241708347797,0.5,0.01
0.7827087873154619,1.277614377410792,0.0392876672599756,0.45,0.49
0.7827087873154619,1.277614377410792,0.1944872113267507,0.45,0.45
0.7827087873154619,1.277614377410792,0.3774559402981575,0.45,0.4
0.7827087873154619,1.277614377410792,0.5397380356262366,0.45,0.35
0.7827087873154619,1.277614377410792,0.6762777246930008,0.45,0.3
0.7827087873154619,1.277614377410792,0.7847000374473799,0.45,0.25
0.7827087873154619,1.277614377410792,0.8681258953401126,0.45,0.2
0.7827087873154619,1.277614377410792,0.9285822126859056,0.45,0.15
0.7827087873154619,1.277614377410792,0.9691484629111664,0.45,0.1
0.7827087873154619,1.277614377410792,0.9923614216700225,0.45,0.05
0.7827087873154619,1.277614377410792,0.9996725154232884,0.45,0.01
0.8535865880848342,1.171527310713338,0.04241040056255878,0.4,0.49
0.8535865880848342,1.171527310713338,0.2094827125400323,0.4,0.45
0.8535865880848342,1.171527310713338,0.4035558090743145,0.4,0.4
0.8535865880848342,1.171527310713338,0.5711358492218931,0.4,0.35
0.8535865880848342,1.171527310713338,0.7069713740367937,0.4,0.3
0.8535865880848342,1.171527310713338,0.8104825280333989,0.4,0.25
0.8535865880848342,1.171527310713338,0.8868675703911958,0.4,0.2
0.8535865880848342,1.171527310713338,0.9399576570576976,0.4,0.15
0.8535865880848342,1.171527310713338,0.9744673862864418,0.4,0.1
0.8535865880848342,1.171527310713338,0.9937381196766024,0.4,0.05
0.8535865880848342,1.171527310713338,0.9997319884438434,0.4,0.01
0.9136171378411172,1.09455039598207,0.04688990525852999,0.35,0.49
0.9136171378411172,1.09455039598207,0.2307619512507227,0.35,0.45
0.9136171378411172,1.09455039598207,0.4400078100400443,0.35,0.4
0.9136171378411172,1.09455039598207,0.613571199152259,0.35,0.35
0.9136171378411172,1.09455039598207,0.746186913091319,0.35,0.3
0.9136171378411172,1.09455039598207,0.8428477133398433,0.35,0.25
0.9136171378411172,1.09455039598207,0.9095066959937484,0.35,0.2
0.9136171378411172,1.09455039598207,0.9534556060141822,0.35,0.15
0.9136171378411172,1.09455039598207,0.9806197536947555,0.35,0.1
0.9136171378411172,1.09455039598207,0.9953112092986677,0.35,0.05
0.9136171378411172,1.09455039598207,0.9997999594480482,0.35,0.01
0.9581316582857617,1.043697900337775,0.05343840450545648,0.3,0.49
0.9581316582857617,1.043697900337775,0.2614451093609383,0.3,0.45
0.9581316582857617,1.043697900337775,0.4907646793209333,0.3,0.4
0.9581316582857617,1.043697900337775,0.6697745765706147,0.3,0.35
0.9581316582857617,1.043697900337775,0.7965285185043712,0.3,0.3
0.9581316582857617,1.043697900337775,0.8814416483662145,0.3,0.25
