Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Positive electrode conductivity [S.m-1],0.18,,
Maximum concentration in positive electrode [mol.m-3],29000,,
Positive electrode diffusivity [m2.s-1],5.0E-13,,
Positive electrode OCP [V],3.8,,
,,,
# Microstructure,,,
Positive electrode porosity,0.30,,
Positive electrode active material volume fraction,0.67,,
Positive particle radius [m],1E-6,,
Positive electrode Bruggeman coefficient (electrolyte),1.5,,
Positive electrode Bruggeman coefficient (electrode),1.5,,
,,,
# Interfacial reactions,,,
Positive electrode cation signed stoichiometry,-1,,
Positive electrode electrons in reaction,1,,
Reference OCP vs SHE in the positive electrode [V],,,
Positive electrode charge transfer coefficient,0.5,,
Positive electrode double-layer capacity [F.m-2],,,
Positive electrode exchange-current density [A.m-2],[function]nmc_LGM50_electrolyte_exchange_current_density_Chen2020,,
,,,
# Density,,,
Positive electrode density [kg.m-3],,,
,,,
# Thermal parameters,,,
Positive electrode specific heat capacity [J.kg-1.K-1],,,
Positive electrode thermal conductivity [W.m-1.K-1],,,
Positive electrode OCP entropic change [V.K-1],0,,
