Name [units],Value,Reference,Notes
# Empty rows and rows starting with ‘#’ will be ignored,,,
,,,
# Electrode properties,,,
Negative electrode conductivity [S.m-1],0.1,https://www.mdpi.com/1996-1073/14/5/1448,
Maximum concentration in negative electrode [mol.m-3],278000,https://www.mdpi.com/1996-1073/14/5/1448,
Negative electrode diffusivity [m2.s-1],1E-13,https://www.mdpi.com/1996-1073/14/5/1448,
Negative electrode OCP [V],0,,
,,,
# Microstructure,,,
Negative electrode porosity,0.3,,
Negative electrode active material volume fraction,0.7,,
Negative particle radius [m],1E-6,,
Negative electrode Bruggeman coefficient (electrolyte),1.5,,
Negative electrode Bruggeman coefficient (electrode),1.5,,
,,,
# Interfacial reactions,,,
Negative electrode cation signed stoichiometry,-1,,
Negative electrode electrons in reaction,1,,
Reference OCP vs SHE in the negative electrode [V],,,
Negative electrode charge transfer coefficient,0.5,,
Negative electrode double-layer capacity [F.m-2],,,
Negative electrode exchange-current density [A.m-2],12.6,,
,,,
# Density,,,
Negative electrode density [kg.m-3],,default,
,,,
# Thermal parameters,,,
Negative electrode specific heat capacity [J.kg-1.K-1],,,
Negative electrode thermal conductivity [W.m-1.K-1],,,
Negative electrode OCP entropic change [V.K-1],0,,
Typical plated lithium concentration [mol.m-3],10,,
Exchange-current density for plating [A.m-2],1,,
