"Simulation" "Energy per Area at Current of 100 [A.m-2]"
L100PHI02.pkl 222,333.00627472124
L100PHI03.pkl 398,582.76598182577
L100PHI05.pkl 745,748.7657570123
L100PHI07.pkl 1,026,263.5679049152
L100PHI08.pkl 1,059,744.6335247438

L200PHI02.pkl 310,937.2650071905
L200PHI03.pkl 651,306.506516853
L200PHI05.pkl 1,380,704.88014063
L200PHI07.pkl 1,858,473.1307570203
L200PHI08.pkl 1,722,784.9165108558

L300PHI02.pkl 334,837.25729391864
L300PHI03.pkl 807,467.5971316802
L300PHI05.pkl 1,907,889.1372041123
L300PHI07.pkl 2,515,173.204320747
L300PHI08.pkl 2,131,939.1853929632

L400PHI02.pkl 346,264.81608354964
L400PHI03.pkl 891,967.5414607755
L400PHI05.pkl 2,341,259.893955595
L400PHI07.pkl 3,028,703.939898379
L400PHI08.pkl 2,354,438.7120278548

L600PHI02.pkl 364,508.3847200526
L600PHI03.pkl 955,825.5743050143
L600PHI05.pkl 2,985,616.394019367
L600PHI07.pkl 3,747,088.5986867417
L600PHI08.pkl 2,520,690.7168985177

L1000PHI02.pkl 395,201.10663246026
L1000PHI03.pkl 993,900.4311722559
L1000PHI05.pkl 3,694,152.7220601533
L1000PHI07.pkl 4,368,579.9638215825
L1000PHI08.pkl 2,562,740.0538461623
